Tempo;Politica;Status Finalizacao;Energia CPU;Energia Transmissoes;Tempo CPU;Tempo Transmissoes;Custo
23122;POLITICA1;TAREFA_CONCLUIDA;11000;0;12500;0;11300
25369;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
25425;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
26261;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
28849;POLITICA1;TAREFA_CONCLUIDA;11000;0;12500;0;11300
29286;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
29627;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
30657;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
30878;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
32190;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
35610;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
35785;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
37259;POLITICA1;TAREFA_CONCLUIDA;11000;0;12500;0;11300
37778;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
37858;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
38542;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
38955;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
39746;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
40312;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
40612;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
40961;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
41474;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
43145;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
44362;POLITICA1;TAREFA_CONCLUIDA;11000;0;12500;0;11300
44918;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
46776;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
47303;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
47906;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
48076;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
48089;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
48216;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
49842;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
53277;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
53282;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
53337;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
53560;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
53932;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
53961;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
55172;POLITICA1;TAREFA_CONCLUIDA;11000;0;12500;0;11300
56312;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
56540;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
57926;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
58094;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
59231;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
61153;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
62361;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
63653;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
63744;POLITICA1;TAREFA_CONCLUIDA;11000;0;12500;0;11300
65411;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
65612;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
66374;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
68652;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
68824;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
69053;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
69547;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
69623;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
70283;POLITICA1;TAREFA_CONCLUIDA;11000;0;12500;0;11300
70496;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
72287;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
72906;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
74105;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
76724;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
78967;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
78986;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
79090;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
80427;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
80600;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
80649;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
80723;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
82409;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
82848;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
84048;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
85024;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
87699;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
90419;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
90608;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
90879;POLITICA1;TAREFA_CONCLUIDA;11000;0;12500;0;11300
93935;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
95920;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
101173;POLITICA1;TAREFA_CONCLUIDA;11000;0;12500;0;11300
101633;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
104227;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
104403;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
104826;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
108505;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
110181;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
111113;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
111123;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
112479;POLITICA1;TAREFA_CONCLUIDA;11000;0;12500;0;11300
112803;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
