Time;Policy;Finalization Status;CPU core Energy;Transfer Energy;CPU core Time;Transfer Time;Cost
22354;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
26146;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
26457;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
27183;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
28043;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
29805;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
30150;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
31682;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
34498;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
34529;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
34757;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
35018;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
35563;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
35595;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
35952;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
36294;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
37170;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
37453;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
37668;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
38093;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
38433;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
41547;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
41622;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
41688;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
43456;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
44793;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
45817;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
46205;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
48003;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
48642;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
50866;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
51026;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
51169;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
51890;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
52778;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
59690;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
59861;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
62700;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
62943;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
63563;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
63918;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
67189;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
68444;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
69314;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
69943;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
71219;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
71697;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
72035;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
72243;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
72820;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
74545;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
75404;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
76899;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
77519;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
79571;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
80026;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
80360;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
81150;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
82671;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
82779;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
83722;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
85271;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
