Tempo;Politica;Status Finalizacao;Energia CPU;Energia Transmissoes;Tempo CPU;Tempo Transmissoes;Custo
25115;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
25410;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
27032;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
27240;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
27931;POLITICA1;TAREFA_CONCLUIDA;11000;0;12500;0;11300
28157;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
29715;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
32231;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
35333;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
39763;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
39809;POLITICA1;TAREFA_CONCLUIDA;11000;0;12500;0;11300
43867;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
43935;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
44539;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
45217;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
47210;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
47357;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
47670;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
47751;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
49706;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
52523;POLITICA1;TAREFA_CONCLUIDA;11000;0;12500;0;11300
55788;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
56309;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
56900;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
57663;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
61309;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
61950;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
62090;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
62240;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
64279;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
65606;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
65719;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
68409;POLITICA1;TAREFA_CONCLUIDA;11000;0;12500;0;11300
68509;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
68705;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
68766;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
68928;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
71694;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
