Tempo;Politica;Status Finalizacao;Energia CPU;Energia Transmissoes;Tempo CPU;Tempo Transmissoes;Custo
13426;POLITICA1;TAREFA_CONCLUIDA;11000;0;12500;0;11300
15786;POLITICA1;TAREFA_CONCLUIDA;11000;0;12500;0;11300
17440;POLITICA1;TAREFA_CONCLUIDA;11000;0;12500;0;11300
18760;POLITICA1;TAREFA_CONCLUIDA;11000;0;12500;0;11300
22098;POLITICA1;TAREFA_CONCLUIDA;11000;0;12500;0;11300
24870;POLITICA1;TAREFA_CONCLUIDA;11000;0;12500;0;11300
25003;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
25184;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
25209;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
25323;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
25392;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
25429;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
25628;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
25662;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
25795;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
26123;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
26196;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
26338;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
26699;POLITICA1;TAREFA_CONCLUIDA;11000;0;12500;0;11300
27181;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
27304;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
27354;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
27678;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
27817;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
27972;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
28432;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
28432;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
28788;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
28890;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
29143;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
29190;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
29287;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
29297;POLITICA1;TAREFA_CONCLUIDA;11000;0;12500;0;11300
29601;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
29700;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
29944;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
30020;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
30299;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
30464;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
30710;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
30870;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
30874;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
30924;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
31062;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
31501;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
31548;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
31666;POLITICA1;TAREFA_CONCLUIDA;11000;0;12500;0;11300
31934;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
32108;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
33000;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
33304;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
33322;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
33570;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
34167;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
34264;POLITICA1;TAREFA_CONCLUIDA;11000;0;12500;0;11300
34607;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
35025;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
35329;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
35571;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
35900;POLITICA1;TAREFA_CONCLUIDA;11000;0;12500;0;11300
36292;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
36544;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
36803;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
37053;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
37060;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
37510;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
37518;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
