Time;Policy;Finalization Status;CPU core Energy;Transfer Energy;CPU core Time;Transfer Time;Cost
111116;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
111291;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
112038;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
112469;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
114853;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
115539;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
115771;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
116142;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
116165;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
118546;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
119687;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
119914;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
120350;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
121727;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
121787;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
121835;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
123953;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
123989;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
124700;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
130061;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
132730;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
133911;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
134347;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
134751;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
134800;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
135117;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
135237;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
135585;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
136156;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
137706;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
137727;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
138916;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
139095;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
139944;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
140105;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
142174;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
142659;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
145117;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
146576;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
148517;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
148962;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
150027;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
150151;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
150226;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
153914;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
156342;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
157173;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
157913;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
160611;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
161659;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
165692;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
165775;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
165799;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
166402;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
166701;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
166750;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
167618;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
167725;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
168111;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
170536;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
172047;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
172686;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
174141;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
174349;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
174732;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
176411;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
176862;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
177579;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
178107;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
178847;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
181224;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
181607;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
182141;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
182306;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
184926;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
185618;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
186092;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
186704;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
190341;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
190783;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
192221;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
192820;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
195075;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
195255;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
195389;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
196222;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
196357;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
197049;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
197119;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
199264;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
199520;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
200257;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
200388;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
201015;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
201536;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
203872;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
204581;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
