Time;Policy;Finalization Status;CPU core Energy;Transfer Energy;CPU core Time;Transfer Time;Cost
14669;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
16746;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
18488;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
20234;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
22189;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
24562;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
25299;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
25457;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
25488;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
25597;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
26047;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
26130;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
26269;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
26672;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
26704;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
26962;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
27286;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
27385;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
27527;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
27730;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
28157;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
28188;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
28239;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
28270;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
28611;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
29400;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
29679;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
30066;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
30099;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
30227;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
30404;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
