Time;Policy;Finalization Status;CPU core Energy;Transfer Energy;CPU core Time;Transfer Time;Cost
20884;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
27841;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
27968;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
28537;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
28947;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
29171;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
29486;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
29495;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
31317;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
32263;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
32639;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
33519;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
34331;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
34770;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
35188;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
35531;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
35920;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
38844;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
41054;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
42366;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
44211;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
46338;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
46465;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
47455;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
47521;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
47870;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
48133;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
48274;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
48698;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
