Tempo;Politica;Status Finalizacao;Energia CPU;Energia Transmissoes;Tempo CPU;Tempo Transmissoes;Custo
14876;POLITICA1;TAREFA_CONCLUIDA;11000;0;12500;0;11300
15942;POLITICA1;TAREFA_CONCLUIDA;11000;0;12500;0;11300
19576;POLITICA1;TAREFA_CONCLUIDA;11000;0;12500;0;11300
21395;POLITICA1;TAREFA_CONCLUIDA;11000;0;12500;0;11300
25097;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
25346;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
25608;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
25765;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
26131;POLITICA1;TAREFA_CONCLUIDA;11000;0;12500;0;11300
26171;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
26320;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
26883;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
26921;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
27148;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
27389;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
27452;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
27626;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
27771;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
27836;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
27840;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
27876;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
27950;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
28123;POLITICA1;TAREFA_CONCLUIDA;11000;0;12500;0;11300
28434;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
28486;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
28553;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
28663;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
29087;POLITICA1;TAREFA_CONCLUIDA;11000;0;12500;0;11300
29947;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
30210;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
30410;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
31224;POLITICA1;TAREFA_CONCLUIDA;11000;0;12500;0;11300
31541;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
31663;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
31970;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
32402;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
32466;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
32515;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
32807;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
32959;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
33216;POLITICA1;TAREFA_CONCLUIDA;11000;0;12500;0;11300
33367;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
33395;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
33485;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
33748;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
33990;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
34160;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
34680;POLITICA1;TAREFA_CONCLUIDA;11000;0;12500;0;11300
35121;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
35377;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
35504;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
35767;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
36404;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
36417;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
36729;POLITICA1;TAREFA_CONCLUIDA;11000;0;12500;0;11300
36743;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
38627;POLITICA1;TAREFA_CONCLUIDA;11000;0;12500;0;11300
38724;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
39106;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
39222;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
39289;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
39312;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
39453;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
39531;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
39931;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
40604;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
40653;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
40697;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
40868;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
40891;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
40992;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
41069;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
41100;POLITICA1;TAREFA_CONCLUIDA;11000;0;12500;0;11300
41107;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
41118;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
41211;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
41722;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
41725;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
42028;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
42189;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
42655;POLITICA1;TAREFA_CONCLUIDA;11000;0;12500;0;11300
42740;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
42867;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
43122;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
43354;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
43443;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
43871;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
43983;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
44124;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
44168;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
44523;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
44569;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
44586;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
44852;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
45262;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
45829;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
45839;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
45965;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
46017;POLITICA1;TAREFA_CONCLUIDA;11000;0;12500;0;11300
46030;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
46131;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
46550;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
46868;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
46925;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
47086;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
47526;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
47570;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
47745;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
47753;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
47759;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
48307;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
48717;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
48781;POLITICA1;TAREFA_CONCLUIDA;11000;0;12500;0;11300
48927;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
49092;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
49804;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
50031;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
50053;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
50107;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
50124;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
50264;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
50369;POLITICA1;TAREFA_CONCLUIDA;11000;0;12500;0;11300
50754;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
50925;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
51049;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
51585;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
51730;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
51941;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
51949;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
52189;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
52510;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
53045;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
53238;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
53378;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
53507;POLITICA1;TAREFA_CONCLUIDA;11000;0;12500;0;11300
53620;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
53639;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
54180;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
54270;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
54355;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
54385;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
54737;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
54887;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
54942;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
55131;POLITICA1;TAREFA_CONCLUIDA;11000;0;12500;0;11300
55921;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
55958;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
56081;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
56460;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
56563;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
56877;POLITICA1;TAREFA_CONCLUIDA;11000;0;12500;0;11300
57049;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
57719;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
57849;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
58230;POLITICA1;TAREFA_CONCLUIDA;11000;0;12500;0;11300
58304;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
58722;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
58977;POLITICA1;TAREFA_CONCLUIDA;7040;0;25000;0;10632
