Tempo;Politica;Status Finalizacao;Energia CPU;Energia Transmissoes;Tempo CPU;Tempo Transmissoes;Custo
41268;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
41311;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
41418;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
41985;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
42251;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
42570;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
42637;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
42826;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
42885;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
42974;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
42977;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
43268;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
43574;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
43697;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
43981;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
44124;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
44596;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
44628;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
45196;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
45225;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
45281;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
45313;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
45702;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
45833;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
46049;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
46070;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
46231;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
46297;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
46754;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
46872;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
47004;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
